"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SPARC",0,0.832247277265696,0.933,0.829,0,"2","SPARC"
"SULF1",0,0.80848109169472,0.894,0.641,0,"2","SULF1"
"COLEC12",0,0.771210776636461,0.828,0.704,0,"2","COLEC12"
"IRS1",0,0.750604540006511,0.879,0.819,0,"2","IRS1"
"PLEKHA5",0,0.696838361070407,0.99,0.98,0,"2","PLEKHA5"
"DTNA",0,0.681785958582304,0.858,0.602,0,"2","DTNA"
"MAMDC2",0,0.658052919265477,0.78,0.731,0,"2","MAMDC2"
"MYOF",0,0.644620947804222,0.778,0.621,0,"2","MYOF"
"SPTLC3",0,0.643254728023979,0.722,0.604,0,"2","SPTLC3"
"ADGRV1",0,0.607178184653607,0.999,0.989,0,"2","ADGRV1"
"CDH11",0,0.566394840677417,0.869,0.578,0,"2","CDH11"
"ZNF385B",0,0.456411334196851,0.794,0.578,0,"2","ZNF385B"
"TMCC3",0,0.398427054875245,0.797,0.542,0,"2","TMCC3"
"FEZF1-AS1",0,0.391855219838406,0.786,0.509,0,"2","FEZF1-AS1"
"EGF",0,0.391602692964821,0.881,0.779,0,"2","EGF"
"TRH",0,0.356342271582675,0.854,0.48,0,"2","TRH"
"ARHGAP10",5.73861989799956e-298,0.620760093124993,0.778,0.575,1.14772397959991e-294,"2","ARHGAP10"
"DNAH7",2.55756671659097e-297,0.739281146737763,0.798,0.608,5.11513343318195e-294,"2","DNAH7"
"KIAA1217",4.20674790617758e-297,0.836337338661682,0.941,0.905,8.41349581235516e-294,"2","KIAA1217"
"HYDIN",1.78964056339486e-296,0.757306514201497,0.8,0.651,3.57928112678973e-293,"2","HYDIN"
"SNTB1",1.86728187539901e-285,0.909150373687451,0.778,0.642,3.73456375079801e-282,"2","SNTB1"
"SPATS2L",3.04152571660734e-284,0.728457650770494,0.909,0.835,6.08305143321468e-281,"2","SPATS2L"
"LINGO2",2.16853389430081e-280,1.11125970751307,0.799,0.721,4.33706778860162e-277,"2","LINGO2"
"BMP7",1.97852893763806e-278,0.8244086619445,0.858,0.748,3.95705787527613e-275,"2","BMP7"
"CFAP54",1.9160018274232e-276,0.776438361794697,0.783,0.606,3.8320036548464e-273,"2","CFAP54"
"LINC01707",1.5843957713551e-270,0.493151830321768,0.791,0.698,3.16879154271019e-267,"2","LINC01707"
"SHISA9",8.3578484028317e-270,1.20476433970544,0.73,0.539,1.67156968056634e-266,"2","SHISA9"
"SGPP2",2.41594146137687e-267,0.329185095878202,0.668,0.466,4.83188292275374e-264,"2","SGPP2"
"ADAMTS3",1.49084907272066e-262,0.807674936495448,0.921,0.791,2.98169814544132e-259,"2","ADAMTS3"
"PRDM16",1.24029312873359e-257,0.730202418692454,0.827,0.673,2.48058625746718e-254,"2","PRDM16"
"AC097478.1",3.98750953676693e-256,0.370643414919286,0.856,0.79,7.97501907353386e-253,"2","AC097478.1"
"UST",1.7939504160815e-250,0.646868926293301,0.871,0.671,3.587900832163e-247,"2","UST"
"WNT8B",1.32121996071678e-249,0.807480426714593,0.688,0.54,2.64243992143356e-246,"2","WNT8B"
"U91319.1",4.1002295859492e-246,0.720461436120819,0.689,0.515,8.2004591718984e-243,"2","U91319.1"
"GRIN2B",1.96661784108311e-240,0.560972456405285,0.73,0.524,3.93323568216623e-237,"2","GRIN2B"
"LRP1B",1.15884832808105e-236,0.973056112510089,0.85,0.824,2.3176966561621e-233,"2","LRP1B"
"ARHGEF3",3.6212607070791e-232,0.681480300345636,0.798,0.714,7.24252141415821e-229,"2","ARHGEF3"
"SDC2",4.86504414351735e-231,0.651815437071051,0.933,0.871,9.7300882870347e-228,"2","SDC2"
"TENM2",6.00080237731075e-229,0.700131000195999,0.98,0.959,1.20016047546215e-225,"2","TENM2"
"CADPS",7.2338483592463e-229,0.606509996475359,0.886,0.662,1.44676967184926e-225,"2","CADPS"
"Z93403.1",2.01076468269222e-220,0.307525155541015,0.714,0.595,4.02152936538444e-217,"2","Z93403.1"
"AC092958.1",3.02367423023254e-218,0.395451926430301,0.773,0.732,6.04734846046508e-215,"2","AC092958.1"
"EPHA4",4.87861746450305e-218,0.677670313621282,0.947,0.848,9.75723492900609e-215,"2","EPHA4"
"GCNT1",3.79135111018381e-217,0.693992320016963,0.694,0.597,7.58270222036762e-214,"2","GCNT1"
"ASTN1",3.96320787058459e-212,0.648112476196537,0.809,0.636,7.92641574116918e-209,"2","ASTN1"
"THBS1",7.87116715211995e-211,0.511735988419878,0.799,0.558,1.57423343042399e-207,"2","THBS1"
"BCL21",1.9192230903696e-201,0.727394469299707,0.908,0.853,3.8384461807392e-198,"2","BCL2"
"CALD1",3.1704696533362e-189,0.612138093500828,0.923,0.843,6.34093930667241e-186,"2","CALD1"
"FN1",7.31705616847958e-189,0.359969562403028,0.854,0.733,1.46341123369592e-185,"2","FN1"
"RSPO1",9.81435256818984e-189,0.633952403391392,0.668,0.568,1.96287051363797e-185,"2","RSPO1"
"NDST4",5.41830602804444e-187,0.667566385636865,0.824,0.689,1.08366120560889e-183,"2","NDST4"
"SHC3",1.69852959953438e-186,0.721145330315154,0.824,0.723,3.39705919906875e-183,"2","SHC3"
"MIR646HG",2.94345265585431e-181,0.585360376572532,0.683,0.644,5.88690531170861e-178,"2","MIR646HG"
"NRP2",2.51583644427906e-179,0.612215629492903,0.761,0.682,5.03167288855811e-176,"2","NRP2"
"DCDC1",7.14581569760097e-176,0.516747518779467,0.805,0.681,1.42916313952019e-172,"2","DCDC1"
"PIP5K1B",2.67069666585521e-175,0.717016621597502,0.714,0.609,5.34139333171041e-172,"2","PIP5K1B"
"GAS7",3.40213044261753e-174,0.557690936531525,0.715,0.566,6.80426088523507e-171,"2","GAS7"
"PCAT1",3.82062868189808e-174,0.996476143304987,0.737,0.713,7.64125736379617e-171,"2","PCAT1"
"SORCS2",7.66301850863596e-174,0.717230989578163,0.855,0.787,1.53260370172719e-170,"2","SORCS2"
"AL035425.2",8.59820195578656e-174,0.628629097902435,0.664,0.594,1.71964039115731e-170,"2","AL035425.2"
